MFCCs,Mean_Accuracy,STD_Accuracy
[0],0.5067567567567568,0.02159626891997078
[1],0.5094594594594595,0.02390784596345152
[2],0.5108108108108108,0.02172273653774065
[3],0.494054054054054,0.02127423638286964
[4],0.5227027027027026,0.020268468388381276
[5],0.4905405405405405,0.02097861445440542
