MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0],41,20,23,40,0.6532258064516129,0.6559999999999999,0.640625,0.6721311475409836,0.6504065040650407,0.6666666666666666,0.6349206349206349,61.0,63.0
[0],34,24,33,33,0.5403225806451613,0.544,0.5074626865671642,0.5862068965517241,0.5365853658536586,0.5789473684210527,0.5,58.0,66.0
[0],41,23,26,34,0.6048387096774194,0.6259541984732824,0.6119402985074627,0.640625,0.5811965811965812,0.5964912280701754,0.5666666666666667,64.0,60.0
[0],36,26,19,43,0.6370967741935484,0.6153846153846153,0.6545454545454545,0.5806451612903226,0.6564885496183207,0.6231884057971014,0.6935483870967742,62.0,62.0
[0],34,16,42,32,0.532258064516129,0.5396825396825397,0.4473684210526316,0.68,0.5245901639344263,0.6666666666666666,0.43243243243243246,50.0,74.0
[0],48,19,25,32,0.6451612903225806,0.6857142857142857,0.6575342465753424,0.7164179104477612,0.5925925925925926,0.6274509803921569,0.5614035087719298,67.0,57.0
[0],46,14,25,39,0.6854838709677419,0.7022900763358779,0.647887323943662,0.7666666666666667,0.6666666666666665,0.7358490566037735,0.609375,60.0,64.0
[0],46,18,26,34,0.6451612903225806,0.676470588235294,0.6388888888888888,0.71875,0.6071428571428571,0.6538461538461539,0.5666666666666667,64.0,60.0
[0],30,23,31,40,0.5645161290322581,0.5263157894736842,0.4918032786885246,0.5660377358490566,0.5970149253731343,0.6349206349206349,0.5633802816901409,53.0,71.0
[0],48,25,18,33,0.6532258064516129,0.6906474820143884,0.7272727272727273,0.6575342465753424,0.6055045871559633,0.5689655172413793,0.6470588235294118,73.0,51.0
[1],38,27,17,42,0.6451612903225806,0.6333333333333333,0.6909090909090909,0.5846153846153846,0.6562500000000001,0.6086956521739131,0.711864406779661,65.0,59.0
[1],40,23,24,37,0.6209677419354839,0.6299212598425197,0.625,0.6349206349206349,0.6115702479338844,0.6166666666666667,0.6065573770491803,63.0,61.0
[1],41,22,20,41,0.6612903225806451,0.6612903225806451,0.6721311475409836,0.6507936507936508,0.6612903225806451,0.6507936507936508,0.6721311475409836,63.0,61.0
[1],40,23,22,39,0.6370967741935484,0.64,0.6451612903225806,0.6349206349206349,0.6341463414634146,0.6290322580645161,0.639344262295082,63.0,61.0
[1],50,15,21,38,0.7096774193548387,0.7352941176470589,0.704225352112676,0.7692307692307693,0.6785714285714285,0.7169811320754716,0.6440677966101694,65.0,59.0
[1],41,23,19,41,0.6612903225806451,0.6612903225806451,0.6833333333333333,0.640625,0.6612903225806451,0.640625,0.6833333333333333,64.0,60.0
[1],45,25,14,40,0.6854838709677419,0.6976744186046511,0.7627118644067796,0.6428571428571429,0.6722689075630253,0.6153846153846154,0.7407407407407407,70.0,54.0
[1],45,23,24,32,0.6209677419354839,0.656934306569343,0.6521739130434783,0.6617647058823529,0.5765765765765765,0.5818181818181818,0.5714285714285714,68.0,56.0
[1],36,25,17,46,0.6612903225806451,0.631578947368421,0.6792452830188679,0.5901639344262295,0.6865671641791045,0.647887323943662,0.7301587301587301,61.0,63.0
[1],40,20,18,46,0.6935483870967742,0.6779661016949153,0.6896551724137931,0.6666666666666666,0.7076923076923077,0.696969696969697,0.71875,60.0,64.0
[2],34,22,30,38,0.5806451612903226,0.5666666666666667,0.53125,0.6071428571428571,0.59375,0.6333333333333333,0.5588235294117647,56.0,68.0
