MFCCs,Mean_Accuracy,STD_Accuracy
[0 1 2 3],0.7201612903225806,0.03643340967121457
[0 1 2 4],0.7161290322580645,0.04324866992836104
[0 1 2 5],0.707258064516129,0.05049829743372022
[0 1 3 4],0.6895161290322581,0.055668531791684885
[0 1 3 5],0.6991935483870968,0.038176775414660094
[0 1 4 5],0.6959677419354838,0.037834529373354533
[0 2 3 4],0.6556451612903225,0.043286248065547234
[0 2 3 5],0.6459677419354839,0.03294628744486369
[0 2 4 5],0.6362903225806452,0.030485577695864165
[0 3 4 5],0.6129032258064516,0.04757381033468589
[1 2 3 4],0.6709677419354838,0.03379407554799512
[1 2 3 5],0.6806451612903226,0.03681520067907526
[1 2 4 5],0.6862903225806452,0.048581598328480746
[1 3 4 5],0.682258064516129,0.03328994748475855
[2 3 4 5],0.6443548387096774,0.03908587360016977
