MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0 1],43,17,29,35,0.6290322580645161,0.6515151515151515,0.5972222222222222,0.7166666666666667,0.603448275862069,0.6730769230769231,0.546875,60.0,64.0
[0 1],54,11,19,40,0.7580645161290323,0.7826086956521738,0.7397260273972602,0.8307692307692308,0.7272727272727273,0.7843137254901961,0.6779661016949152,65.0,59.0
[0 1],50,15,27,32,0.6612903225806451,0.7042253521126761,0.6493506493506493,0.7692307692307693,0.6037735849056605,0.6808510638297872,0.5423728813559322,65.0,59.0
[0 1],56,10,19,39,0.7661290322580645,0.7943262411347518,0.7466666666666667,0.8484848484848485,0.7289719626168225,0.7959183673469388,0.6724137931034483,66.0,58.0
[0 1],53,11,28,32,0.6854838709677419,0.7310344827586207,0.654320987654321,0.828125,0.6213592233009709,0.7441860465116279,0.5333333333333333,64.0,60.0
[0 1],54,18,19,33,0.7016129032258065,0.7448275862068966,0.7397260273972602,0.75,0.6407766990291263,0.6470588235294118,0.6346153846153846,72.0,52.0
[0 1],49,20,25,30,0.6370967741935484,0.6853146853146853,0.6621621621621622,0.7101449275362319,0.5714285714285713,0.6,0.5454545454545454,69.0,55.0
[0 1],45,11,35,33,0.6290322580645161,0.6617647058823529,0.5625,0.8035714285714286,0.5892857142857142,0.75,0.4852941176470588,56.0,68.0
[0 1],47,14,22,41,0.7096774193548387,0.7230769230769231,0.6811594202898551,0.7704918032786885,0.6949152542372882,0.7454545454545455,0.6507936507936508,61.0,63.0
[0 1],50,15,12,47,0.782258064516129,0.7874015748031495,0.8064516129032258,0.7692307692307693,0.7768595041322315,0.7580645161290323,0.7966101694915254,65.0,59.0
[0 2],38,18,30,38,0.6129032258064516,0.6129032258064516,0.5588235294117647,0.6785714285714286,0.6129032258064516,0.6785714285714286,0.5588235294117647,56.0,68.0
[0 2],45,14,26,39,0.6774193548387096,0.6923076923076923,0.6338028169014085,0.7627118644067796,0.6610169491525424,0.7358490566037735,0.6,59.0,65.0
[0 2],39,17,26,42,0.6532258064516129,0.6446280991735538,0.6,0.6964285714285714,0.6614173228346457,0.711864406779661,0.6176470588235294,56.0,68.0
[0 2],44,21,26,33,0.6209677419354839,0.6518518518518519,0.6285714285714286,0.676923076923077,0.5840707964601771,0.6111111111111112,0.559322033898305,65.0,59.0
[0 2],47,19,24,34,0.6532258064516129,0.6861313868613139,0.6619718309859155,0.7121212121212122,0.6126126126126126,0.6415094339622641,0.5862068965517241,66.0,58.0
[0 2],46,11,32,35,0.6532258064516129,0.6814814814814815,0.5897435897435898,0.8070175438596491,0.6194690265486725,0.7608695652173914,0.5223880597014925,57.0,67.0
[0 2],38,18,31,37,0.6048387096774194,0.608,0.5507246376811594,0.6785714285714286,0.6016260162601627,0.6727272727272727,0.5441176470588235,56.0,68.0
[0 2],49,16,26,33,0.6612903225806451,0.7,0.6533333333333333,0.7538461538461538,0.611111111111111,0.673469387755102,0.559322033898305,65.0,59.0
[0 2],39,20,29,36,0.6048387096774194,0.6141732283464567,0.5735294117647058,0.6610169491525424,0.5950413223140496,0.6428571428571429,0.5538461538461539,59.0,65.0
[0 2],48,11,28,37,0.6854838709677419,0.7111111111111111,0.631578947368421,0.8135593220338984,0.6548672566371682,0.7708333333333334,0.5692307692307692,59.0,65.0
[0 3],45,21,25,33,0.6290322580645161,0.6617647058823529,0.6428571428571429,0.6818181818181818,0.5892857142857143,0.6111111111111112,0.5689655172413793,66.0,58.0
[0 3],45,17,18,44,0.717741935483871,0.7200000000000001,0.7142857142857143,0.7258064516129032,0.7154471544715446,0.7213114754098361,0.7096774193548387,62.0,62.0
[0 3],43,14,30,37,0.6451612903225806,0.6615384615384615,0.589041095890411,0.7543859649122807,0.6271186440677965,0.7254901960784313,0.5522388059701493,57.0,67.0
[0 3],43,17,29,35,0.6290322580645161,0.6515151515151515,0.5972222222222222,0.7166666666666667,0.603448275862069,0.6730769230769231,0.546875,60.0,64.0
[0 3],45,28,15,36,0.6532258064516129,0.6766917293233082,0.75,0.6164383561643836,0.6260869565217391,0.5625,0.7058823529411765,73.0,51.0
