MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0 1 2],43,13,25,43,0.6935483870967742,0.6935483870967742,0.6323529411764706,0.7678571428571429,0.6935483870967742,0.7678571428571429,0.6323529411764706,56.0,68.0
[0 1 2],44,16,27,37,0.6532258064516129,0.6717557251908396,0.6197183098591549,0.7333333333333333,0.6324786324786325,0.6981132075471698,0.578125,60.0,64.0
[0 1 2],45,14,29,36,0.6532258064516129,0.6766917293233082,0.6081081081081081,0.7627118644067796,0.6260869565217391,0.72,0.5538461538461539,59.0,65.0
[0 1 2],49,15,25,35,0.6774193548387096,0.7101449275362318,0.6621621621621622,0.765625,0.6363636363636365,0.7,0.5833333333333334,64.0,60.0
[0 1 2],52,22,17,33,0.6854838709677419,0.7272727272727273,0.7536231884057971,0.7027027027027027,0.6285714285714286,0.6,0.66,74.0,50.0
[0 1 2],47,18,28,31,0.6290322580645161,0.6714285714285715,0.6266666666666667,0.7230769230769231,0.5740740740740742,0.6326530612244898,0.5254237288135594,65.0,59.0
[0 1 2],56,17,21,30,0.6935483870967742,0.7466666666666667,0.7272727272727273,0.7671232876712328,0.6122448979591838,0.6382978723404256,0.5882352941176471,73.0,51.0
[0 1 2],56,12,15,41,0.782258064516129,0.8057553956834531,0.7887323943661971,0.8235294117647058,0.7522935779816513,0.7735849056603774,0.7321428571428571,68.0,56.0
[0 1 2],48,19,17,40,0.7096774193548387,0.7272727272727273,0.7384615384615385,0.7164179104477612,0.689655172413793,0.6779661016949152,0.7017543859649122,67.0,57.0
[0 1 2],50,11,22,41,0.7338709677419355,0.7518796992481204,0.6944444444444444,0.819672131147541,0.7130434782608696,0.7884615384615384,0.6507936507936508,61.0,63.0
[0 1 3],48,18,25,33,0.6532258064516129,0.6906474820143884,0.6575342465753424,0.7272727272727273,0.6055045871559633,0.6470588235294118,0.5689655172413793,66.0,58.0
[0 1 3],53,7,24,40,0.75,0.7737226277372263,0.6883116883116883,0.8833333333333333,0.7207207207207208,0.851063829787234,0.625,60.0,64.0
[0 1 3],46,18,25,35,0.6532258064516129,0.6814814814814815,0.647887323943662,0.71875,0.6194690265486726,0.660377358490566,0.5833333333333334,64.0,60.0
[0 1 3],59,12,14,39,0.7903225806451613,0.8194444444444445,0.8082191780821918,0.8309859154929577,0.7499999999999999,0.7647058823529411,0.7358490566037735,71.0,53.0
[0 1 3],45,13,31,35,0.6451612903225806,0.671641791044776,0.5921052631578947,0.7758620689655172,0.6140350877192983,0.7291666666666666,0.5303030303030303,58.0,66.0
[0 1 3],44,15,24,41,0.6854838709677419,0.6929133858267716,0.6470588235294118,0.7457627118644068,0.6776859504132231,0.7321428571428571,0.6307692307692307,59.0,65.0
[0 1 3],45,12,21,46,0.7338709677419355,0.7317073170731707,0.6818181818181818,0.7894736842105263,0.736,0.7931034482758621,0.6865671641791045,57.0,67.0
[0 1 3],51,14,24,35,0.6935483870967742,0.7285714285714285,0.68,0.7846153846153846,0.6481481481481481,0.7142857142857143,0.5932203389830508,65.0,59.0
