MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0 1 2 3],57,13,17,37,0.7580645161290323,0.7916666666666666,0.7702702702702703,0.8142857142857143,0.7115384615384615,0.74,0.6851851851851852,70.0,54.0
[0 1 2 3],55,10,23,36,0.7338709677419355,0.7692307692307693,0.7051282051282052,0.8461538461538461,0.6857142857142858,0.782608695652174,0.6101694915254238,65.0,59.0
[0 1 2 3],45,13,29,37,0.6612903225806451,0.6818181818181819,0.6081081081081081,0.7758620689655172,0.6379310344827586,0.74,0.5606060606060606,58.0,66.0
[0 1 2 3],48,9,28,39,0.7016129032258065,0.7218045112781954,0.631578947368421,0.8421052631578947,0.6782608695652174,0.8125,0.582089552238806,57.0,67.0
[0 1 2 3],50,13,22,39,0.717741935483871,0.7407407407407406,0.6944444444444444,0.7936507936507936,0.6902654867256638,0.75,0.639344262295082,63.0,61.0
[0 1 2 3],55,9,18,42,0.782258064516129,0.8029197080291972,0.7534246575342466,0.859375,0.7567567567567567,0.8235294117647058,0.7,64.0,60.0
[0 1 2 3],44,13,27,40,0.6774193548387096,0.6875,0.6197183098591549,0.7719298245614035,0.6666666666666666,0.7547169811320755,0.5970149253731343,57.0,67.0
[0 1 2 3],54,15,15,40,0.7580645161290323,0.782608695652174,0.782608695652174,0.782608695652174,0.7272727272727273,0.7272727272727273,0.7272727272727273,69.0,55.0
[0 1 2 3],43,13,22,46,0.717741935483871,0.7107438016528925,0.6615384615384615,0.7678571428571429,0.7244094488188977,0.7796610169491526,0.6764705882352942,56.0,68.0
[0 1 2 3],48,11,27,38,0.6935483870967742,0.7164179104477612,0.64,0.8135593220338984,0.6666666666666666,0.7755102040816326,0.5846153846153846,59.0,65.0
[0 1 2 4],45,11,17,51,0.7741935483870968,0.7627118644067797,0.7258064516129032,0.8035714285714286,0.7846153846153845,0.8225806451612904,0.75,56.0,68.0
[0 1 2 4],47,10,30,37,0.6774193548387096,0.7014925373134328,0.6103896103896104,0.8245614035087719,0.649122807017544,0.7872340425531915,0.5522388059701493,57.0,67.0
[0 1 2 4],43,16,31,34,0.6209677419354839,0.6466165413533834,0.581081081081081,0.7288135593220338,0.591304347826087,0.68,0.5230769230769231,59.0,65.0
[0 1 2 4],49,11,24,40,0.717741935483871,0.7368421052631579,0.6712328767123288,0.8166666666666667,0.6956521739130435,0.7843137254901961,0.625,60.0,64.0
[0 1 2 4],56,11,18,39,0.7661290322580645,0.7943262411347517,0.7567567567567568,0.835820895522388,0.7289719626168225,0.78,0.6842105263157895,67.0,57.0
[0 1 2 4],48,19,17,40,0.7096774193548387,0.7272727272727273,0.7384615384615385,0.7164179104477612,0.689655172413793,0.6779661016949152,0.7017543859649122,67.0,57.0
[0 1 2 4],49,15,16,44,0.75,0.7596899224806202,0.7538461538461538,0.765625,0.7394957983193278,0.7457627118644068,0.7333333333333333,64.0,60.0
[0 1 2 4],55,10,22,37,0.7419354838709677,0.7746478873239436,0.7142857142857143,0.8461538461538461,0.6981132075471698,0.7872340425531915,0.6271186440677966,65.0,59.0
[0 1 2 4],46,16,21,41,0.7016129032258065,0.7131782945736433,0.6865671641791045,0.7419354838709677,0.689075630252101,0.7192982456140351,0.6612903225806451,62.0,62.0
[0 1 2 4],44,10,27,43,0.7016129032258065,0.704,0.6197183098591549,0.8148148148148148,0.6991869918699187,0.8113207547169812,0.6142857142857143,54.0,70.0
[0 1 2 5],47,14,29,34,0.6532258064516129,0.6861313868613139,0.618421052631579,0.7704918032786885,0.6126126126126126,0.7083333333333334,0.5396825396825397,61.0,63.0
[0 1 2 5],51,13,24,36,0.7016129032258065,0.7338129496402876,0.68,0.796875,0.6605504587155964,0.7346938775510204,0.6,64.0,60.0
[0 1 2 5],52,9,24,39,0.7338709677419355,0.7591240875912408,0.6842105263157895,0.8524590163934426,0.7027027027027026,0.8125,0.6190476190476191,61.0,63.0
[0 1 2 5],46,17,20,41,0.7016129032258065,0.7131782945736433,0.696969696969697,0.7301587301587301,0.6890756302521007,0.7068965517241379,0.6721311475409836,63.0,61.0
[0 1 2 5],39,18,20,47,0.6935483870967742,0.6724137931034484,0.6610169491525424,0.6842105263157895,0.712121212121212,0.7230769230769231,0.7014925373134329,57.0,67.0
[0 1 2 5],42,18,28,36,0.6290322580645161,0.6461538461538462,0.6,0.7,0.6101694915254238,0.6666666666666666,0.5625,60.0,64.0
[0 1 2 5],49,18,25,32,0.6532258064516129,0.6950354609929078,0.6621621621621622,0.7313432835820896,0.5981308411214953,0.64,0.5614035087719298,67.0,57.0
[0 1 2 5],59,11,17,37,0.7741935483870968,0.8082191780821917,0.7763157894736842,0.8428571428571429,0.7254901960784315,0.7708333333333334,0.6851851851851852,70.0,54.0
[0 1 2 5],66,7,19,32,0.7903225806451613,0.8354430379746836,0.7764705882352941,0.9041095890410958,0.711111111111111,0.8205128205128205,0.6274509803921569,73.0,51.0
[0 1 2 5],43,16,16,49,0.7419354838709677,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7538461538461538,0.7538461538461538,0.7538461538461538,59.0,65.0
[0 1 3 4],48,6,30,40,0.7096774193548387,0.7272727272727274,0.6153846153846154,0.8888888888888888,0.689655172413793,0.8695652173913043,0.5714285714285714,54.0,70.0
[0 1 3 4],52,9,30,33,0.6854838709677419,0.7272727272727272,0.6341463414634146,0.8524590163934426,0.6285714285714286,0.7857142857142857,0.5238095238095238,61.0,63.0
[0 1 3 4],43,11,29,41,0.6774193548387096,0.6825396825396824,0.5972222222222222,0.7962962962962963,0.6721311475409837,0.7884615384615384,0.5857142857142857,54.0,70.0
[0 1 3 4],36,14,33,41,0.6209677419354839,0.6050420168067228,0.5217391304347826,0.72,0.6356589147286822,0.7454545454545455,0.5540540540540541,50.0,74.0
[0 1 3 4],39,24,27,34,0.5887096774193549,0.6046511627906977,0.5909090909090909,0.6190476190476191,0.5714285714285715,0.5862068965517241,0.5573770491803278,63.0,61.0
[0 1 3 4],46,20,20,38,0.6774193548387096,0.696969696969697,0.696969696969697,0.696969696969697,0.6551724137931034,0.6551724137931034,0.6551724137931034,66.0,58.0
[0 1 3 4],51,9,17,47,0.7903225806451613,0.7968749999999999,0.75,0.85,0.7833333333333332,0.8392857142857143,0.734375,60.0,64.0
[0 1 3 4],41,19,21,43,0.6774193548387096,0.6721311475409835,0.6612903225806451,0.6833333333333333,0.6825396825396826,0.6935483870967742,0.671875,60.0,64.0
[0 1 3 4],50,10,20,44,0.7580645161290323,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7457627118644067,0.8148148148148148,0.6875,60.0,64.0
[0 1 3 4],52,12,24,36,0.7096774193548387,0.742857142857143,0.6842105263157895,0.8125,0.6666666666666665,0.75,0.6,64.0,60.0
[0 1 3 5],49,13,24,38,0.7016129032258065,0.725925925925926,0.6712328767123288,0.7903225806451613,0.672566371681416,0.7450980392156863,0.6129032258064516,62.0,62.0
[0 1 3 5],51,12,24,37,0.7096774193548387,0.7391304347826089,0.68,0.8095238095238095,0.6727272727272727,0.7551020408163265,0.6065573770491803,63.0,61.0
[0 1 3 5],47,12,30,35,0.6612903225806451,0.6911764705882353,0.6103896103896104,0.7966101694915254,0.625,0.7446808510638298,0.5384615384615384,59.0,65.0
[0 1 3 5],55,8,22,39,0.7580645161290323,0.7857142857142856,0.7142857142857143,0.873015873015873,0.7222222222222223,0.8297872340425532,0.639344262295082,63.0,61.0
[0 1 3 5],41,17,24,42,0.6693548387096774,0.6666666666666666,0.6307692307692307,0.7068965517241379,0.672,0.711864406779661,0.6363636363636364,58.0,66.0
[0 1 3 5],48,15,26,35,0.6693548387096774,0.7007299270072993,0.6486486486486487,0.7619047619047619,0.6306306306306306,0.7,0.5737704918032787,63.0,61.0
[0 1 3 5],48,12,28,36,0.6774193548387096,0.7058823529411765,0.631578947368421,0.8,0.6428571428571429,0.75,0.5625,60.0,64.0
[0 1 3 5],46,18,16,44,0.7258064516129032,0.7301587301587302,0.7419354838709677,0.71875,0.7213114754098361,0.7096774193548387,0.7333333333333333,64.0,60.0
[0 1 3 5],44,17,26,37,0.6532258064516129,0.6717557251908397,0.6285714285714286,0.7213114754098361,0.6324786324786325,0.6851851851851852,0.5873015873015873,61.0,63.0
