MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[5],0,192,0,178,0.4810810810810811,0.0,0.0,0.0,0.6496350364963505,0.4810810810810811,1.0,192.0,178.0
[5],0,183,0,187,0.5054054054054054,0.0,0.0,0.0,0.6714542190305206,0.5054054054054054,1.0,183.0,187.0
[5],0,183,0,187,0.5054054054054054,0.0,0.0,0.0,0.6714542190305206,0.5054054054054054,1.0,183.0,187.0
[5],0,208,0,162,0.43783783783783786,0.0,0.0,0.0,0.6090225563909775,0.43783783783783786,1.0,208.0,162.0
[5],0,183,0,187,0.5054054054054054,0.0,0.0,0.0,0.6714542190305206,0.5054054054054054,1.0,183.0,187.0
[5],0,192,0,178,0.4810810810810811,0.0,0.0,0.0,0.6496350364963505,0.4810810810810811,1.0,192.0,178.0
[5],0,182,0,188,0.5081081081081081,0.0,0.0,0.0,0.6738351254480287,0.5081081081081081,1.0,182.0,188.0
[5],0,190,0,180,0.4864864864864865,0.0,0.0,0.0,0.6545454545454547,0.4864864864864865,1.0,190.0,180.0
[5],0,181,0,189,0.5108108108108108,0.0,0.0,0.0,0.6762075134168158,0.5108108108108108,1.0,181.0,189.0
[5],0,191,0,179,0.4837837837837838,0.0,0.0,0.0,0.6520947176684881,0.4837837837837838,1.0,191.0,179.0
