MFCCs,Actual(0)Predicted(0),Actual(0)Predicted(1),Actual(1)Predicted(0),Actual(1)Predicted(1),Accuracy,(0) f1,(0) Precision,(0) Recall,(1) f1,(1) Precision,(1) Recall,Number of Entries (0),Number of Entries (1)
[0 1 2 3 4],48,16,23,37,0.6854838709677419,0.7111111111111111,0.676056338028169,0.75,0.6548672566371682,0.6981132075471698,0.6166666666666667,64.0,60.0
[0 1 2 3 4],49,15,24,36,0.6854838709677419,0.7153284671532847,0.6712328767123288,0.765625,0.6486486486486486,0.7058823529411765,0.6,64.0,60.0
[0 1 2 3 4],54,9,23,38,0.7419354838709677,0.7714285714285714,0.7012987012987013,0.8571428571428571,0.7037037037037038,0.8085106382978723,0.6229508196721312,63.0,61.0
[0 1 2 3 4],45,12,29,38,0.6693548387096774,0.6870229007633588,0.6081081081081081,0.7894736842105263,0.6495726495726495,0.76,0.5671641791044776,57.0,67.0
[0 1 2 3 4],45,14,25,40,0.6854838709677419,0.6976744186046511,0.6428571428571429,0.7627118644067796,0.6722689075630253,0.7407407407407407,0.6153846153846154,59.0,65.0
[0 1 2 3 4],45,15,19,45,0.7258064516129032,0.7258064516129032,0.703125,0.75,0.7258064516129032,0.75,0.703125,60.0,64.0
[0 1 2 3 4],51,16,25,32,0.6693548387096774,0.7132867132867132,0.6710526315789473,0.7611940298507462,0.6095238095238096,0.6666666666666666,0.5614035087719298,67.0,57.0
[0 1 2 3 4],57,13,18,36,0.75,0.7862068965517242,0.76,0.8142857142857143,0.6990291262135923,0.7346938775510204,0.6666666666666666,70.0,54.0
[0 1 2 3 4],48,14,26,36,0.6774193548387096,0.7058823529411764,0.6486486486486487,0.7741935483870968,0.6428571428571428,0.72,0.5806451612903226,62.0,62.0
[0 1 2 3 4],57,7,31,29,0.6935483870967742,0.75,0.6477272727272727,0.890625,0.6041666666666667,0.8055555555555556,0.48333333333333334,64.0,60.0
[0 1 2 3 5],50,13,24,37,0.7016129032258065,0.72992700729927,0.6756756756756757,0.7936507936507936,0.6666666666666666,0.74,0.6065573770491803,63.0,61.0
[0 1 2 3 5],59,10,19,36,0.7661290322580645,0.802721088435374,0.7564102564102564,0.855072463768116,0.7128712871287128,0.782608695652174,0.6545454545454545,69.0,55.0
[0 1 2 3 5],51,14,17,42,0.75,0.7669172932330828,0.75,0.7846153846153846,0.7304347826086958,0.75,0.711864406779661,65.0,59.0
[0 1 2 3 5],46,14,26,38,0.6774193548387096,0.696969696969697,0.6388888888888888,0.7666666666666667,0.6551724137931033,0.7307692307692307,0.59375,60.0,64.0
[0 1 2 3 5],48,14,29,33,0.6532258064516129,0.6906474820143885,0.6233766233766234,0.7741935483870968,0.6055045871559632,0.7021276595744681,0.532258064516129,62.0,62.0
[0 1 2 3 5],41,16,24,43,0.6774193548387096,0.6721311475409837,0.6307692307692307,0.7192982456140351,0.6825396825396826,0.7288135593220338,0.6417910447761194,57.0,67.0
[0 1 2 3 5],48,13,26,37,0.6854838709677419,0.711111111111111,0.6486486486486487,0.7868852459016393,0.6548672566371682,0.74,0.5873015873015873,61.0,63.0
[0 1 2 3 5],42,19,21,42,0.6774193548387096,0.6774193548387096,0.6666666666666666,0.6885245901639344,0.6774193548387096,0.6885245901639344,0.6666666666666666,61.0,63.0
[0 1 2 3 5],43,15,25,41,0.6774193548387096,0.6825396825396826,0.6323529411764706,0.7413793103448276,0.6721311475409836,0.7321428571428571,0.6212121212121212,58.0,66.0
[0 1 2 3 5],45,18,21,40,0.6854838709677419,0.6976744186046512,0.6818181818181818,0.7142857142857143,0.6722689075630253,0.6896551724137931,0.6557377049180327,63.0,61.0
[0 1 2 4 5],57,21,14,32,0.717741935483871,0.7651006711409397,0.8028169014084507,0.7307692307692307,0.6464646464646465,0.6037735849056604,0.6956521739130435,78.0,46.0
[0 1 2 4 5],52,13,25,34,0.6935483870967742,0.7323943661971831,0.6753246753246753,0.8,0.6415094339622641,0.723404255319149,0.576271186440678,65.0,59.0
[0 1 2 4 5],43,4,40,37,0.6451612903225806,0.6615384615384615,0.5180722891566265,0.9148936170212766,0.6271186440677966,0.9024390243902439,0.4805194805194805,47.0,77.0
[0 1 2 4 5],45,18,21,40,0.6854838709677419,0.6976744186046512,0.6818181818181818,0.7142857142857143,0.6722689075630253,0.6896551724137931,0.6557377049180327,63.0,61.0
[0 1 2 4 5],55,9,17,43,0.7903225806451613,0.8088235294117647,0.7638888888888888,0.859375,0.7678571428571429,0.8269230769230769,0.7166666666666667,64.0,60.0
[0 1 2 4 5],51,7,31,35,0.6935483870967742,0.7285714285714285,0.6219512195121951,0.8793103448275862,0.6481481481481481,0.8333333333333334,0.5303030303030303,58.0,66.0
[0 1 2 4 5],46,16,25,37,0.6693548387096774,0.6917293233082707,0.647887323943662,0.7419354838709677,0.6434782608695653,0.6981132075471698,0.5967741935483871,62.0,62.0
[0 1 2 4 5],52,11,22,39,0.7338709677419355,0.7591240875912408,0.7027027027027027,0.8253968253968254,0.7027027027027027,0.78,0.639344262295082,63.0,61.0
[0 1 2 4 5],52,13,19,40,0.7419354838709677,0.7647058823529411,0.7323943661971831,0.8,0.7142857142857143,0.7547169811320755,0.6779661016949152,65.0,59.0
[0 1 2 4 5],53,12,20,39,0.7419354838709677,0.7681159420289856,0.726027397260274,0.8153846153846154,0.7090909090909091,0.7647058823529411,0.6610169491525424,65.0,59.0
